Receiving Country Code,Receiving City,Country Code Cat,Count
UK,london,33,3241
DE,berlin,5,3149
HU,budapest,13,2272
IE,dublin,14,2201
FR,paris,11,2080
EE,tallinn,7,1603
SI,ljubljana,30,1574
FR,strasbourg,11,1456
DE,hagen,5,1431
ES,valencia,9,1304
LU,luxembourg,19,1263
LV,riga,20,1195
HR,zagreb,12,1144
LT,vilnius,18,1124
DE,bremen,5,1058
IT,roma,16,1025
BG,sofia,2,1006
DE,stuttgart,5,995
TR,ankara,32,973
CY,nicosia,3,957
CZ,praha,4,938
PL,warszawa,25,928
ES,madrid,9,927
DE,aachen,5,907
FI,helsinki,10,899
PL,lublin,25,880
UK,belfast,33,856
CZ,brno,4,805
SK,trenčín,31,793
PL,lodz,25,769
AT,wien,0,758
NO,oslo,24,752
EL,thessaloniki,8,741
PL,kielce,25,698
PL,cz�stochowa,25,695
ES,oviedo,9,682
DE,hannover,5,671
TR,istanbul,32,642
RO,bucuresti,27,635
BE,bruxelles,1,618
FR,montpellier,11,612
MK,skopje,21,610
UK,st helens,33,607
FR,bordeaux,11,604
EL,athens,8,604
MT,st venera,22,603
NL,utrecht,23,597
RO,ramnicu sarat,27,597
IS,reykjavík,15,597
LT,kaunas,18,596
UK,cardiff,33,594
PT,cascais,26,587
UK,manchester,33,583
SK,bratislava,31,563
MT,msida,22,544
PL,gdansk,25,534
BE,brussel,1,513
TR,izmir,32,495
LV,gulbene,20,494
RO,bacau,27,486
TR,i̇stanbul,32,478
DE,m�nchen,5,477
IT,torino,16,466
DE,esslingen,5,460
PL,rawa mazowiecka,25,448
HR,osijek,12,446
UK,huddersfield,33,444
PL,wroc�aw,25,438
SK,žilina,31,429
FR,rennes,11,423
IT,rome,16,419
SK,trencin,31,417
DE,berlin - prenzlauer berg,5,415
TR,bursa,32,408
UK,birmingham,33,394
ES,granada,9,393
BE,schaarbeek,1,391
TR,i̇zmir,32,386
UK,leeds,33,381
SE,stockholm,29,374
RO,cluj-napoca,27,370
IT,lecce,16,366
NL,den haag,23,362
PT,porto,26,361
TR,konya,32,357
CY,limassol,3,355
HR,rijeka,12,352
CZ,jindřichův hradec,4,350
DE,magdeburg,5,346
NL,rotterdam,23,339
HU,b�k�s,13,332
FR,rouvroy-les-merles,11,331
RO,timisoara,27,330
MK,prilep,21,320
PL,starachowice,25,318
UK,ashford,33,313
SI,maribor,30,301
BE,brussels,1,296
DK,k�benhavn k,6,293
AT,salzburg,0,293
PT,faro,26,291
ES,zaragoza,9,290
FR,metz,11,289
HR,vukovar,12,285
EE,tartu,7,283
RO,bucharest,27,281
CY,lefkosia,3,280
DK,k?benhavn n,6,279
PL,"oksywie, gdynia",25,276
CZ,liberec,4,273
DE,k?lleda,5,270
LV,tor?akalns,20,269
NL,amsterdam,23,263
FR,lille,11,263
ES,torrent,9,263
